@relation article
@attribute ArchivesID string
@attribute Category string
@attribute Department string
@attribute ReadCount string
@attribute Title string
@data
"114580761","觀光休閒;大眾傳播;","臺北市政府觀光傳播局","0","臺北大稻埕音樂情人節延期至何時舉辦?"
"87827874","社會福利;","臺北市政府社會局婦女福利及兒童托育科","2760","每一位保母可收托幾名幼兒？"
"87433538","社會福利;","臺北市政府社會局婦女福利及兒童托育科","2399","居家式托育服務登記書有期限嗎？多久要換證？換證程序為何？"
"87433537","社會福利;","臺北市政府社會局婦女福利及兒童托育科","2836","如果警察刑事紀錄證明書(良民證)載有前科紀錄，可以辦理登記事宜嗎？"
"87433536","社會福利;","臺北市政府社會局婦女福利及兒童托育科","2535","如何申請察刑事紀錄證明書(良民證) ？"
"87433535","社會福利;","臺北市政府社會局婦女福利及兒童托育科","2231","居家式托育服務登記相關書表文件可在那裡索取？"
"87433534","社會福利;","臺北市政府社會局婦女福利及兒童托育科","2354","居家式托育服務登記書需要檢附什麼資料？"
"87433533","社會福利;","臺北市政府社會局婦女福利及兒童托育科","2265","居家式托育服務登記需要提出申請嗎？何時開始受理？去哪裡申請？"
"87433532","社會福利;","臺北市政府社會局婦女福利及兒童托育科","3641","親屬保母可以申請保母托育費用補助嗎？"
"68509063","社會福利;社會福利類","臺北市政府社會局身心障礙者福利科","4487","身心障礙者輔具費用補助的應備資料"
"68509061","社會福利;社會福利類","臺北市政府社會局身心障礙者福利科","4282","身心障礙者輔具費用補助內容"
"68509060","社會福利;社會福利類","臺北市政府社會局身心障礙者福利科","4262","那些地點可以將機車改為身心障礙者的特製機車？"
"68509059","社會福利;社會福利類","臺北市政府社會局身心障礙者福利科","4247","身心障礙者輔具費用補助 (器具補助、輔具服務)申請流程"
"68509058","社會福利;社會福利類","臺北市政府社會局身心障礙者福利科","3083","身心障礙者輔具費用補助洽辦單位"
"68501026","社會福利;社會福利類","臺北市政府社會局身心障礙者福利科","3560","哪裡可以索取到衛福部訂定之「身心障礙者輔具費用補助基準表」？"
"68319872","社會福利;社會福利類","臺北市政府社會局身心障礙者福利科","4068","生活輔具 (器具補助、輔具服務)申請資格"
"68319871","社會福利;社會福利類","臺北市政府社會局身心障礙者福利科","3963","申請身心障礙者輔具費用補助是否有設籍時間限制？"
"65915377","社會福利;社會福利類","臺北市政府社會局婦女福利及兒童托育科","3891","保母人員自何時開始要辦理登記？"
"63022042","社會福利;社會福利類","臺北市政府社會局婦女福利及兒童托育科","3796","保母人員為何要辦理登記？那些人需要登記？"
"41711438","社會福利;社會福利類","臺北市政府社會局婦女福利及兒童托育科","6365","臺北市各區家庭服務中心的地址與電話為何？"
"36570480","社會福利;社會福利類","臺北市政府社會局婦女福利及兒童托育科","6141","親屬保母托育需要辦理登記嗎？"
"36570479","社會福利;社會福利類","臺北市政府社會局婦女福利及兒童托育科","6733","什麼是居家式托育服務？"
"114561153","社會福利;","臺北市政府社會局社會工作科","1","若有遊民需要安置之處理方式"
"114469422","觀光休閒;大眾傳播;","臺北市政府觀光傳播局","8","2015台北河岸音樂季活動因天鵝颱風影響，各項活動舉辦時間為何？"
"114468275","交通運輸;","臺北市公共運輸處","11","如民眾反映新北市所轄的公車路線應如何處理?"
"111972778","社會福利;","臺北市政府社會局老人福利科","72","申請老人緊急救援系統資格及辦理窗口為何？"
"111972777","社會福利;","臺北市政府社會局老人福利科","85","申請老人緊急救援系統流程為何？"
"109426610","社會福利;","臺北市政府社會局身心障礙者福利科","281","是否有爬梯機借用或租用服務？需向那些單位洽詢？"
"97860036","社會福利;","臺北市政府社會局兒童及少年福利科","645","未成年之兒童、少年、身心障礙少年"
"93331046","社會福利;","臺北市政府社會局老人福利科","1273","疑似患精神疾病、身心障礙或失智的老人於街上遊蕩而無人照顧。"
"72141560","社會福利;社會福利類","臺北市政府社會局婦女福利及兒童托育科","7075","有經濟困難的單親家庭可以申請哪些經濟補助？"
"72141559","社會福利;社會福利類","臺北市政府社會局婦女福利及兒童托育科","3990","本市單親家庭可以運用哪些資源處理就業需求？"
